전송사업자코드,전송사업자명,공연시설코드,시설특성,개관연도,주소,나이대,편의시설_레스토랑 여부,편의시설_카페 여부,편의시설_편의점 여부,편의시설_놀이방 여부,편의시설_수유실 여부,장애인시설_주차장 여부,장애인시설_화장실 여부,장애인시설_경사로 여부,장애인시설_전용엘리베이터 여부,주차시설_자체 여부,주차시설_공영 여부,공연장코드,좌석수,장애인석,무대시설_오케스트라피트 여부,무대시설_연습실 여부,무대시설_분장실 여부,무대시설_무대넓이,공연코드,공연회차,공연일시,입장권고유번호,예매/취소일시,예매/취소구분,예매/취소매수,예매/취소금액,예매/취소방식코드,예매/취소방식명(관리시스템),예매/취소방식명(전송처),결제수단코드,결제수단명(관리시스템),결제수단명(전송처),할인금액,할인종류코드,할인종류명(관리시스템),할인종류명(전송처),장당금액,성별,연령,공연시작일자,공연종료일자,소요시간,장르명,세부장르명,공연지역명,출연진내용,제작진내용,기획제작사명,원작자명,극작가명,수상실적,관람연령,아동공연 여부,축제 여부,내한공연 여부,오픈런 여부,판매시작일시,판매종료일시,좌석등급,단독판매여부,판매좌석수,판매페이지URL,공연일시_연,공연일시_월,공연일시_요일,공연기간,공휴일_기념일_여부,시설특성공공(기타),시설특성공공(문예회관),시설특성국립,시설특성기타(비공연장),시설특성민간(대학로 외),시설특성민간(대학로),성별0,성별1,성별2,공연지속률,공연거래빈도
SE000102,티켓링크,FC223315,공공(문예회관),1975.0,대구광역시 중구 태평로 141 (태평로2가) ,0,0,1,0,0,1,1,1,1,1,1,0,FC223315-01,1284,14,1,1,1,344,PF314870,1,2022-06-21 19:30:00,1431527281_1,2022-06-10 13:40,1,1,0,99,기타,기획사/구단,1,현금,현금,0,99,기타,,0,0,2023,2022-06-21,2022-06-21,1시간 30분,클래식,기악,경상도,"이광호, 이정아, 백민아, 오수진 등",,"한국기독교총연합회(주최), CTS기독교TV(주관)",,,,만 7세 이상,0,0,0,0,2022/06/09 00:00:00,2022/06/20 17:00:00,전석무료(0),0,1석,http://www.ticketlink.co.kr/product/38972,2022,6,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0027397260273972603,1096
SE000102,티켓링크,FC223315,공공(문예회관),1975.0,대구광역시 중구 태평로 141 (태평로2가) ,0,0,1,0,0,1,1,1,1,1,1,0,FC223315-01,1284,14,1,1,1,344,PF313959,1,2022-06-22 19:30:00,1430846151_1,2022-05-25 15:40,1,1,0,99,기타,기획사/구단,1,현금,현금,0,99,기타,,0,0,2023,2022-06-22,2022-06-22,,클래식,성악,경상도,"이선경, 김소정, 한혜민, 박소연, 박인아, 김서준, 김남수 등",이선경 등,"명음클래식(주최), 명음클래식(주관)",,,,만 7세 이상,0,0,0,0,2022/05/18 00:00:00,2022/06/21 17:00:00,전석(20000),0,1석,http://www.ticketlink.co.kr/product/38712,2022,6,2,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0027397260273972603,1080
SE000201,인터파크,FC223315,공공(문예회관),1975.0,대구광역시 중구 태평로 141 (태평로2가) ,0,0,1,0,0,1,1,1,1,1,1,0,FC223315-01,1284,14,1,1,1,344,PF314585,1,2022-06-24 19:30:00,T0896496779,2022-06-07 11:15,1,1,0,3,현장,대구콘서트하우스,1,현금,현금,0,99,기타,,0,0,2023,2022-06-24,2022-06-24,1시간,클래식,기악,경상도,"류명우, 소정환, 송경민, 유하준, 최미지, 박시인 등",,"대구시립예술단(주최), 대구시립교향악단(주관)",,,,만 7세 이상,0,0,0,0,2022/05/31 00:00:00,2022/06/24 16:30:00,전석무료(0),1,1254석,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22006583,2022,6,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0027397260273972603,2093
SE000201,인터파크,FC223315,공공(문예회관),1975.0,대구광역시 중구 태평로 141 (태평로2가) ,2,0,1,0,0,1,1,1,1,1,1,0,FC223315-01,1284,14,1,1,1,344,PF313902,1,2022-06-26 19:00:00,T1946771550,2022-05-25 18:00,1,1,70000,99,기타,티켓어플 안드로이드,99,기타,인터파크페이(계좌),0,99,기타,,70000,2,27,2022-06-26,2022-06-26,2시간,클래식,성악,경상도,김대윤 등,,"(주) 어썸아트앤뉴미디어(주관), (주) 어썸아트앤뉴미디어(주최)",,,,만 6세 이상,0,0,0,0,2022/05/23 00:00:00,2022/06/25 11:00:00,"R석(70000), S석(50000), A석(30000)",1,988석,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22006403,2022,6,6,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0027397260273972603,946
SE000201,인터파크,FC223315,공공(문예회관),1975.0,대구광역시 중구 태평로 141 (태평로2가) ,3,0,1,0,0,1,1,1,1,1,1,0,FC223315-01,1284,14,1,1,1,344,PF314364,1,2022-06-30 19:30:00,T1951068560,2022-05-31 14:04,1,1,9000,1,웹,대구콘서트하우스(web),2,카드,신용카드,0,99,기타,,9000,0,64,2022-06-30,2022-06-30,1시간 30분,클래식,성악,경상도,박지운 등,박지운,"대구시립합창단(주관), 대구시립예술단(주최)",,,,만 7세 이상,0,0,0,0,2022/05/27 00:00:00,2022/06/29 17:00:00,"A석(16000), B석(10000)",0,994석,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22006646,2022,6,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0027397260273972603,431
SE000102,티켓링크,FC223315,공공(문예회관),1975.0,대구광역시 중구 태평로 141 (태평로2가) ,2,0,1,0,0,1,1,1,1,1,1,0,FC223315-02,248,4,0,1,1,,PF314924,1,2022-06-23 19:30:00,1431550628_1,2022-06-10 20:21,1,1,10000,2,모바일,티켓링크 모바일웹,2,카드,신용카드,0,99,기타,,10000,2,42,2022-06-23,2022-06-23,1시간 10분,클래식,기악,경상도,배 원,,"KAG기획(주최), KAG기획(주관)",,,,만 7세 이상,0,0,0,0,2022/06/09 10:00:00,2022/06/22 17:00:00,전석(10000),1,1석,http://www.ticketlink.co.kr/product/38934,2022,6,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0027397260273972603,248
SE000102,티켓링크,FC223315,공공(문예회관),1975.0,대구광역시 중구 태평로 141 (태평로2가) ,0,0,1,0,0,1,1,1,1,1,1,0,FC223315-02,248,4,0,1,1,,PF315671,1,2022-06-25 17:00:00,1432239100_1,2022-06-23 17:02,1,1,0,99,기타,기획사/구단,1,현금,현금,0,99,기타,,0,0,2023,2022-06-25,2022-06-25,1시간 30분,클래식,기악,경상도,"장신옥, 박수경, 최선미, 송효정",,"킴스클래식예술기획(주최), 킴스클래식예술기획(주관)",,,,만 7세 이상,0,0,0,0,2022/06/23 00:00:00,2022/06/24 17:00:00,전석무료(0),0,1석,http://www.ticketlink.co.kr/product/39200,2022,6,5,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0027397260273972603,244
SE000102,티켓링크,FC223315,공공(문예회관),1975.0,대구광역시 중구 태평로 141 (태평로2가) ,0,0,1,0,0,1,1,1,1,1,1,0,FC223315-02,248,4,0,1,1,,PF315854,1,2022-06-28 19:30:00,1432393892_77,2022-06-27 15:42,1,1,0,99,기타,기획사/구단,1,현금,현금,0,99,기타,,0,0,2023,2022-06-28,2022-06-28,1시간 30분,클래식,기악,경상도,"오국환, 최훈락",,킴스클래식예술기획(주최),,,,만 7세 이상,0,0,0,0,2022/06/27 00:00:00,2022/06/27 17:00:00,전석무료(0),0,1석,http://www.ticketlink.co.kr/product/39236,2022,6,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0027397260273972603,244
SE000201,인터파크,FC223469,공공(기타),1986.0,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동) ,2,1,1,1,0,0,0,0,0,0,1,0,FC223469-04,237,3,0,1,1,,PF314271,1,2022-06-24 19:30:00,T1955446080,2022-06-07 14:15,1,1,21000,99,기타,티켓어플 아이폰,2,카드,신용카드,0,99,기타,,21000,2,35,2022-06-24,2022-06-26,1시간,연극,연극,서울,"이윤정, 이다솜, 김솔지, 방지연, 안준기, 김양균","김재훈, 박진호, 안세운 등","한국체육산업개발(주)(주최), 한국체육산업개발(주)(주관), 극단 올리브와 찐콩(주최), 극단 올리브와 찐콩(주관)",김지현,,,36개월 이상,1,0,0,0,2022/05/26 00:00:00,2022/06/23 17:00:00,전석(35000),0,198석,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22006595,2022,6,4,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00821917808219178,124
SE000102,티켓링크,FC222759,공공(문예회관),2010.0,경상북도 안동시 축제장길 66 (안흥동) ,2,0,1,1,1,0,1,1,1,0,1,0,FC222759-02,276,3,0,1,1,108,PF313321,1,2022-06-29 19:30:00,1430172964_1,2022-05-13 10:00,1,1,0,2,모바일,티켓링크 모바일웹,1,현금,현금,0,99,기타,,0,1,37,2022-06-29,2022-06-29,1시간 20분,무용,현대무용,경상도,이헤정 등,,"문화체육관광부(주최), 한국문화예술회관연합회(KoCACA)(주관), 안동문화예술의전당 (평생학습원)(주관)",,,,5세 이상,0,0,0,0,2022/05/13 10:00:00,2022/06/29 12:00:00,전석무료(0),1,1석,http://www.ticketlink.co.kr/product/38583,2022,6,2,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0027397260273972603,413
